code,name,price,change,jinge,jingzhanbi
002842,翔鹭钨业,43.80,-0.07,1116,3.18
002538,司尔特,9.06,2.26,1112,5.94
601137,博威合金,11.86,2.95,1105,5.08
600696,*ST匹凸,6.65,13.48,1105,5.94
002133,广宇集团,5.02,8.19,1101,4.04
600476,湘邮科技,16.83,3.89,1096,4.12
300235,方直科技,12.52,7.01,1095,7.42
600258,首旅酒店,28.41,5.26,1091,0.98
002454,松芝股份,12.20,6.46,1080,3.13
600428,中远海特,5.90,5.17,1067,3.44
600533,栖霞建设,5.17,6.60,1067,2.92
600027,华电国际,3.79,2.16,1066,3.33
603088,宁波精达,40.01,-3.91,1064,10.07
002661,克明面业,14.50,1.83,1057,11.09
000698,沈阳化工,6.22,5.25,1055,3.39
000616,海航投资,3.64,8.66,1052,3.16
601021,春秋航空,39.07,4.83,1051,1.47
600233,圆通速递,17.36,3.64,1049,3.69
300326,凯利泰,8.78,5.02,1043,2.94
603988,中电电机,49.56,-2.29,1042,4.94
002624,完美世界,31.39,-6.19,1041,1.87
300121,阳谷华泰,13.84,3.21,1038,7.17
601881,中国银河,11.03,4.95,1025,0.71
600872,中炬高新,25.93,4.73,1023,1.41
600335,国机汽车,11.60,3.20,1013,3.57
000952,广济药业,15.01,4.60,1013,4.21
000897,津滨发展,3.68,8.88,996,3.10
601101,昊华能源,8.71,7.53,996,1.00
600728,佳都科技,8.57,3.88,989,1.54
300470,日机密封,41.45,7.11,988,4.97
000593,大通燃气,9.49,5.56,978,2.46
600673,东阳光科,7.22,6.96,968,1.58
601020,华钰矿业,20.91,1.90,967,2.46
600300,维维股份,4.60,5.26,966,4.07
600121,*ST郑煤,6.50,8.15,965,3.00
300298,三诺生物,20.67,3.97,965,2.65
601877,正泰电器,26.30,0.57,965,0.85
600895,张江高科,15.01,4.97,962,2.73
603017,中衡设计,16.33,-1.21,960,10.00
300033,同花顺,52.05,4.14,955,0.61
600663,陆家嘴,20.60,8.25,953,1.86
600246,万通地产,4.50,12.78,948,4.70
600879,航天电子,8.05,2.68,946,0.98
600758,红阳能源,7.85,6.37,945,1.69
300333,兆日科技,8.97,4.91,943,3.43
601996,丰林集团,5.19,7.23,941,3.08
